id,autor,conteudo,data,reacoes,tem_anexo,menciona_alguem,mentioned_users,reply_to_id,message_length
1493041832190410812,haniel.,parabens <@840008987344371763>,2026-04-12 21:15:12,0,False,True,nouliboli,,30
1493041816138809474,haniel.,parabens <@764574156373098546>,2026-04-12 21:15:08,0,False,True,sandrofilho,,30
1493041800053784696,haniel.,parabens <@1223753273434181722>,2026-04-12 21:15:04,0,False,True,marinawang11,,31
1493041776120958996,wesleydsg,/ban,2026-04-12 21:14:58,0,False,False,,,4
1493041763395440670,haniel.,parabens <@516666578557730849>,2026-04-12 21:14:55,0,False,True,vinilicia,,30
1493041755921318162,wesleydsg,cara ta querendo farmar fama no nosso bot mds,2026-04-12 21:14:53,0,False,False,,,45
1493041734484230278,haniel.,parabens <@511035199816204288>,2026-04-12 21:14:48,0,False,True,zeroplank,,30
1493041726699339858,wesleydsg,po banir,2026-04-12 21:14:47,0,False,False,,,8
1493041693430124585,haniel.,parabens <@1225618468754165846>,2026-04-12 21:14:39,0,False,True,carrocho,,31
1493041679350108361,haniel.,parabens <@395698445924433931>,2026-04-12 21:14:35,0,False,True,daniilago,,30
1493041663952683008,haniel.,parabens <@321437043135873024>,2026-04-12 21:14:32,0,False,True,davijannotti,,30
1493041648165322823,haniel.,parabens <@295011166587977729>,2026-04-12 21:14:28,0,False,True,pdrohd,,30
1493041631895621703,haniel.,parabens <@349347400755707904>,2026-04-12 21:14:24,0,False,True,bolinouli,,30
1493041564484767914,haniel.,meus parabens <@319269827690627072>,2026-04-12 21:14:08,0,False,True,wesleydsg,,35
1493041543164985414,haniel.,meus parabens <@1315102856277266442>,2026-04-12 21:14:03,0,False,True,maiosene,,36
1493041505357533255,wesleydsg,meus parabens <@1315102856277266442>,2026-04-12 21:13:54,0,False,True,maiosene,,36
1493041475599073281,wesleydsg,jao ta gravido?,2026-04-12 21:13:47,0,False,False,,,15
1493041415238717540,bolinouli,🫃,2026-04-12 21:13:32,0,False,False,,,1
1492266981204824204,wesleydsg,Ja vou entrar call jaja,2026-04-10 17:56:13,0,False,False,,,23
1492266955317579868,wesleydsg,<@295011166587977729> <@1225618468754165846>,2026-04-10 17:56:07,0,False,True,"pdrohd,carrocho",,44
1491629936656777306,pdrohd,enquanto agnt tava em call antes de fazer o trabaio,2026-04-08 23:44:50,1,True,False,,,51
1491618617626984538,pdrohd,[IMAGEM: Captura_de_tela_2026-04-09_015926.png],2026-04-08 22:59:51,0,True,False,,,0
1491618459174309898,carrocho,[IMAGEM: image.png],2026-04-08 22:59:13,0,True,False,,,0
